"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"854","Richard Strauss: Also Sprach Zarathustra; Till Eulenspiegels Lustige Streiche; Salomes Tanz","Herbert von Karajan / Berlin Philharmonic Orchestra","de","1986","Yes","No","854","8500","73683","4","75.103523254","1","186920","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=186920&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"856","On The Boardwalk","Ted Hawkins","us","1986","No","No","856","8533","74088","4","73.075920105","5","25866","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=25866&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"857","Uncarved Block","Flux Of Pink Indians","uk","1986","No","No","857","8540","74143","4","73.011566162","2","125400","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=125400&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"858","Spotlight On Lucille","B.B. King","us","1986","No","No","858","8544","74156","4","71.241455078","3","65242","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=65242&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"859","Totem Poles And Glory Holes","Russ Tolman","us","1986","No","No","859","8553","74252","4","73.844894409","2","29236","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=29236&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"860","Lust Games","The Leather Nun","se","1986","No","No","860","8586","74672","4","-1","0","212178","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=212178&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"861","The Billie Holiday Songbook","Billie Holiday","us","1986","Yes","No","861","8595","74777","4","74.19443512","1","160332","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=160332&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"862","The Fan And The Bellows","The Chameleons","uk","1986","Yes","No","862","8599","74812","4","74.678230286","2","209196","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=209196&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"863","Ligeti: Trio Für Violine, Horn Und Klavier - Passacaglia Hungerese - Hungarian Rock - Continuum - Monument, Selbstportrait, Bewegung","Hermann Baumann / Antonio Ballista / Bruno Canino / Eckart Besch / Saschko Gawriloff / Elisabeth Chojnacka","un","1986","No","No","863","8600","74813","4","73.285339355","1","105795","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=105795&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"864","Le Grand Maitre Franco Et Son Tout Puissant O.K. Jazz","Le Grand Maitre Franco & Jolie Detta","cd","1986","No","No","864","8633","75054","4","74.19443512","1","93023","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=93023&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"865","Womagic","Bobby Womack","us","1986","No","No","865","8635","75088","4","-1","0","212176","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=212176&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"866","Invisible Hitchcock","Robyn Hitchcock","uk","1986","No","No","866","8659","75315","4","73.285339355","1","209910","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=209910&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"867","Magnetic","Steps Ahead","us","1986","No","No","867","8661","75325","4","-1","0","182892","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=182892&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"867","The British Psychedelic Trip 1966-1969","Various Artists","un","1986","Yes","No","867","8661","75325","4","74.678230286","2","113669","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=113669&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"869","Chronicle Volume Two","Creedence Clearwater Revival","us","1986","Yes","No","869","8722","75835","4","77.306938171","10","132233","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=132233&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"870","Beyanga","M'Bilia Bel","cd","1986","No","No","870","8758","76229","4","74.648979187","1","93022","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=93022&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
